iter	Passed	Remaining
0	87	87224
1	162	81208
2	234	77924
3	321	80056
4	400	79711
5	467	77415
6	532	75584
7	595	73796
8	665	73270
9	738	73091
10	807	72644
11	875	72067
12	942	71572
13	1012	71336
14	1083	71164
15	1165	71651
16	1229	71096
17	1294	70629
18	1354	69957
19	1413	69261
20	1490	69475
21	1571	69853
22	1652	70178
23	1728	70307
24	1803	70320
25	1878	70376
26	1956	70488
27	2019	70098
28	2093	70102
29	2165	70009
30	2221	69440
31	2283	69062
32	2339	68559
33	2408	68428
34	2469	68096
35	2537	67951
36	2603	67767
37	2664	67453
38	2725	67148
39	2794	67063
40	2859	66895
41	2930	66840
42	2991	66588
43	3066	66627
44	3136	66570
45	3205	66475
46	3271	66327
47	3334	66129
48	3395	65909
49	3459	65734
50	3534	65771
51	3594	65531
52	3667	65523
53	3730	65346
54	3809	65457
55	3887	65527
56	3950	65364
57	4033	65501
58	4099	65376
59	4180	65491
60	4266	65681
61	4334	65584
62	4425	65821
63	4493	65712
64	4570	65739
65	4644	65726
66	4711	65615
67	4775	65457
68	4849	65427
69	4925	65437
70	5000	65426
71	5076	65433
72	5154	65457
73	5222	65355
74	5299	65355
75	5384	65462
76	5458	65427
77	5538	65463
78	5605	65353
79	5675	65269
80	5739	65123
81	5828	65255
82	5900	65184
83	5969	65101
84	6036	64978
85	6115	64995
86	6180	64862
87	6247	64744
88	6308	64569
89	6379	64504
90	6468	64616
91	6531	64461
92	6592	64292
93	6657	64170
94	6718	64006
95	6786	63909
96	6862	63886
97	6927	63760
98	6995	63664
99	7059	63539
100	7142	63576
101	7214	63512
102	7268	63296
103	7329	63145
104	7384	62944
105	7451	62847
106	7511	62685
107	7572	62540
108	7626	62341
109	7688	62205
110	7742	62008
111	7827	62063
112	7902	62033
113	7987	62077
114	8056	62000
115	8125	61924
116	8190	61816
117	8249	61660
118	8305	61491
119	8366	61355
120	8426	61217
121	8495	61140
122	8550	60967
123	8616	60871
124	8674	60721
125	8754	60725
126	8815	60597
127	8877	60474
128	8940	60366
129	9002	60245
130	9058	60088
131	9114	59934
132	9178	59836
133	9236	59689
134	9316	59691
135	9383	59615
136	9450	59529
137	9529	59526
138	9588	59390
139	9658	59327
140	9722	59232
141	9794	59178
142	9863	59111
143	9927	59011
144	9980	58852
145	10040	58730
146	10098	58598
147	10158	58481
148	10221	58376
149	10273	58215
150	10334	58103
151	10402	58037
152	10472	57974
153	10533	57863
154	10595	57759
155	10658	57667
156	10718	57551
157	10777	57432
158	10840	57340
159	10911	57283
160	10973	57182
161	11029	57052
162	11091	56952
163	11175	56968
164	11244	56901
165	11297	56759
166	11359	56660
167	11413	56525
168	11488	56491
169	11548	56382
170	11610	56285
171	11674	56202
172	11727	56060
173	11786	55951
174	11845	55841
175	11899	55712
176	11953	55581
177	12011	55470
178	12075	55387
179	12137	55294
180	12204	55225
181	12254	55078
182	12326	55032
183	12382	54915
184	12441	54811
185	12518	54785
186	12584	54711
187	12637	54584
188	12700	54496
189	12771	54445
190	12859	54467
191	12918	54365
192	12978	54266
193	13038	54169
194	13095	54061
195	13163	53995
196	13220	53888
197	13282	53800
198	13343	53711
199	13412	53648
200	13475	53568
201	13530	53452
202	13590	53359
203	13645	53245
204	13717	53196
205	13778	53108
206	13833	52994
207	13887	52877
208	13951	52801
209	14037	52808
210	14088	52683
211	14150	52597
212	14211	52510
213	14267	52404
214	14330	52322
215	14398	52259
216	14466	52197
217	14529	52120
218	14594	52045
219	14657	51966
220	14716	51873
221	14791	51835
222	14870	51813
223	14926	51710
224	14985	51616
225	15041	51512
226	15098	51415
227	15160	51332
228	15212	51217
229	15284	51169
230	15340	51069
231	15396	50969
232	15448	50854
233	15509	50769
234	15569	50683
235	15624	50579
236	15684	50494
237	15740	50397
238	15800	50310
239	15862	50229
240	15930	50169
241	15984	50068
242	16045	49986
243	16100	49885
244	16159	49798
245	16221	49719
246	16276	49620
247	16331	49520
248	16394	49447
249	16449	49349
250	16507	49260
251	16562	49163
252	16613	49053
253	16675	48976
254	16748	48932
255	16805	48841
256	16867	48763
257	16939	48716
258	17001	48640
259	17060	48557
260	17120	48474
261	17186	48410
262	17242	48319
263	17296	48219
264	17350	48123
265	17403	48023
266	17465	47948
267	17520	47855
268	17580	47775
269	17634	47677
270	17694	47597
271	17754	47519
272	17810	47429
273	17866	47339
274	17935	47284
275	17997	47212
276	18066	47154
277	18125	47074
278	18185	46995
279	18252	46933
280	18307	46843
281	18373	46780
282	18430	46694
283	18502	46647
284	18564	46574
285	18621	46488
286	18678	46404
287	18734	46315
288	18797	46246
289	18847	46144
290	18905	46062
291	18966	45987
292	19030	45919
293	19099	45865
294	19165	45803
295	19226	45728
296	19292	45665
297	19349	45580
298	19413	45515
299	19492	45482
300	19559	45422
301	19614	45333
302	19676	45262
303	19745	45207
304	19808	45137
305	19866	45057
306	19923	44973
307	19987	44907
308	20044	44825
309	20102	44744
310	20160	44663
311	20236	44623
312	20314	44588
313	20377	44518
314	20446	44462
315	20503	44381
316	20570	44320
317	20629	44242
318	20685	44159
319	20738	44069
320	20799	43997
321	20861	43925
322	20923	43855
323	20986	43786
324	21052	43724
325	21110	43644
326	21168	43567
327	21235	43506
328	21297	43436
329	21364	43376
330	21427	43307
331	21480	43220
332	21543	43150
333	21609	43089
334	21668	43013
335	21720	42923
336	21776	42843
337	21840	42776
338	21895	42693
339	21958	42624
340	22014	42543
341	22071	42464
342	22126	42381
343	22186	42309
344	22258	42258
345	22316	42181
346	22375	42107
347	22436	42037
348	22494	41959
349	22552	41883
350	22607	41801
351	22660	41716
352	22721	41644
353	22785	41580
354	22837	41493
355	22904	41433
356	22964	41362
357	23026	41293
358	23084	41218
359	23141	41140
360	23203	41072
361	23262	40998
362	23312	40908
363	23376	40843
364	23438	40777
365	23511	40727
366	23586	40681
367	23648	40613
368	23718	40559
369	23779	40490
370	23846	40430
371	23910	40364
372	23966	40286
373	24027	40216
374	24087	40145
375	24143	40068
376	24203	39996
377	24256	39914
378	24313	39838
379	24372	39765
380	24432	39694
381	24485	39613
382	24545	39542
383	24598	39459
384	24657	39387
385	24727	39333
386	24785	39259
387	24837	39176
388	24900	39110
389	24962	39043
390	25019	38968
391	25090	38915
392	25145	38837
393	25212	38778
394	25286	38730
